bet_id,game,name,result_type,amount,odds,stake,pick,market
3759252,Basketball,Cal State Fullerton Titans v UC Irvine Anteaters - NCAAB 2021/2022 (USA College 1),Won,"4,260,000",1.71,"6,000,000",Over 129 Total,Over/Under 129 Total Full event
3759262,Basketball,Bucknell Bison v Boston University Terriers - NCAAB 2021/2022 (USA College 1),Lost,"5,000,000",2.00,,Boston University Terriers,-6.5
3759280,Basketball,Detroit Mercy Titans v Purdue Fort Wayne Mastodons - NCAAB 2021/2022 (USA College 1),Won,"6,850,000",2.37,"5,000,000",Purdue Fort Wayne Mastodons,2-Way Full event
3759305,Basketball,Ohio Bobcats v Akron Zips - NCAAB 2021/2022 (USA College 1),Lost,"5,000,000",1.90,,Under 133 Total,Over/Under 133 Total Full event
3759313,Basketball,San Diego State Aztecs v San Jose State Spartans - NCAAB 2021/2022 (USA College 1),Won,"3,195,000",1.71,"4,500,000",Over 125.5 Total,Over/Under 125.5 Total Full event
3759326,Basketball,The Citadel Bulldogs v Furman Paladins - NCAAB 2021/2022 (USA College 1),Won,"5,680,000",1.71,"8,000,000",Under 155 Total,Over/Under 155 Total Full event
3759385,Basketball,Utah Utes v Arizona State Sun Devils - NCAAB 2021/2022 (USA College 1),Won,"6,450,000",2.29,"5,000,000",Arizona State Sun Devils,2-Way Full event
3759386,Basketball,Oregon Ducks v Southern California Trojans - NCAAB 2021/2022 (USA College 1),Won,"7,500,000",2.50,"5,000,000",Southern California Trojans,2-Way Full event
3759387,Basketball,Michigan Wolverines v Illinois Fighting Illini - NCAAB 2021/2022 (USA College 1),Won,"4,550,000",1.91,"5,000,000",Illinois Fighting Illini,2-Way Full event
3759407,Basketball,Richmond Spiders v Dayton Flyers - NCAAB 2021/2022 (USA College 1),Won,"5,500,000",2.10,"5,000,000",Dayton Flyers,2-Way Full event
3759415,Basketball,Villanova Wildcats v Providence Friars - NCAAB 2021/2022 (USA College 1),Won,"8,190,000",1.91,"9,000,000",Over 134.5 Total,Over/Under 134.5 Total Full event
3759416,Basketball,Georgia Bulldogs v Tennessee Volunteers - NCAAB 2021/2022 (USA College 1),Lost,"5,000,000",1.83,,Over 145.5 Total,Over/Under 145.5 Total Full event
3759417,Basketball,UNLV Rebels v Wyoming Cowboys - NCAAB 2021/2022 (USA College 1),Lost,"5,000,000",1.91,,Over 139.5 Total,Over/Under 139.5 Total Full event
3759450,Basketball,DePaul Blue Demons v Marquette Golden Eagles - NCAAB 2021/2022 (USA College 1),Won,"3,120,000",2.04,"3,000,000",DePaul Blue Demons,2-Way Full event
3759455,Basketball,Mississippi State Bulldogs v Auburn Tigers - NCAAB 2021/2022 (USA College 1),Won,"2,490,000",1.83,"3,000,000",Over 141 Total,Over/Under 141 Total Full event
3759465,Basketball,UC Santa Barbara Gauchos v Cal State Northridge Matadors - NCAAB 2021/2022 (USA College 1),Lost,"10,000,000",1.91,,Over 133 Total,Over/Under 133 Total Full event
3759508,Basketball,Michigan Wolverines v Iowa Hawkeyes - NCAAB 2021/2022 (USA College 1),Won,"5,200,000",2.04,"5,000,000",Iowa Hawkeyes,2-Way Full event
3759607,Basketball,Marquette Golden Eagles v St. John's Red Storm - NCAAB 2021/2022 (USA College 1),Lost,"1,000,000",2.50,,St. John's Red Storm,2-Way Full event
3759611,Basketball,Montana Grizzlies v Sacramento State Hornets - NCAAB 2021/2022 (USA College 1),Won,"8,190,000",1.91,"9,000,000",Over 131.5 Total,Over/Under 131.5 Total Full event
3759678,Basketball,Michigan State Spartans v Maryland Terrapins - NCAAB 2021/2022 (USA College 1),Won,"2,730,000",1.91,"3,000,000",Over 142.5 Total,Over/Under 142.5 Total Full event
3760455,Football,Brisbane Roar FC v Central Coast Mariners - A-League Men 2021/2022 (Australia 1),Won,"2,500,000",2.25,"2,000,000",Central Coast Mariners,3-Way Ordinary time
3760557,Football,Melbourne City FC v Wellington Phoenix - A-League Men 2021/2022 (Australia 1),Won,"9,100,000",1.91,"10,000,000",Under 3.5 Total Goals,Over/Under 3.5 Total Goals Ordinary time
3762286,Football,Al-Qadsia v Al Fahaheel - Premier League 2021/2022 (Kuwait 1),Lost,"20,000,000",1.91,,Over 2.5 Total Goals,Over/Under 2.5 Total Goals Ordinary time
3762307,Football,Al Yarmouk SC v Al-Arabi - Premier League 2021/2022 (Kuwait 1),Lost,"200,000",2.50,,Under 2.5 Total Goals,Over/Under 2.5 Total Goals Ordinary time
3765178,Football,"Melbourne City FC v Wellington Phoenix - A-League Women 2021/2022 (Australia 1, female)",Won,"212,000",1.53,"400,000",Over 3.5 Total Goals,Over/Under 3.5 Total Goals Ordinary time
3765179,Football,"Wellington Phoenix v Sydney FC - A-League Women 2021/2022 (Australia 1, female)",Won,"19,600,000",1.20,"98,000,000",Under 5.5 Total Goals,Over/Under 5.5 Total Goals Ordinary time
3765828,Basketball,Stanford Cardinal v Arizona Wildcats - NCAAB 2021/2022 (USA College 1),Won,"11,000,000",2.10,"10,000,000",Arizona Wildcats,-12.5
3767003,Basketball,Basketball Loewen Braunschweig v Crailsheim Merlins - BBL Cup 2021/2022 (Germany Cup 1),Lost,"25,000,000",2.20,,Basketball Loewen Braunschweig,2-Way Full event
3767394,Rugby League,Workington Town v Barrow Raiders - Championship 2022 (England 2),Lost,"1,000,000",4.75,,Workington Town,3-Way Ordinary time
3767421,Rugby League,Barrow Raiders v Halifax Panthers - Championship 2022 (England 2),Won,"3,500,000",2.75,"2,000,000",Halifax Panthers,-10.5
3767979,Rugby League,South Sydney Rabbitohs v Canterbury Bulldogs - NRL 2022 (Australia 1),Lost,"3,000,000",1.85,,Under 39.5 Total,Over/Under 39.5 Total Ordinary time
3768010,Rugby League,Canterbury Bulldogs v Newcastle Knights - NRL 2022 (Australia 1),Won,"22,000,000",2.10,"20,000,000",Newcastle Knights,3-Way Ordinary time
3768015,Rugby League,Cronulla Sharks v Canberra Raiders - NRL 2022 (Australia 1),Won,"28,000,000",1.70,"40,000,000",Over 37.5 Total,Over/Under 37.5 Total Ordinary time
3768016,Rugby League,Sydney Roosters v Parramatta Eels - NRL 2022 (Australia 1),Won,"25,921,703",1.80,"32,402,129",Over 38.5 Total,Over/Under 38.5 Total Ordinary time
3768019,Rugby League,Wests Tigers v Canterbury Bulldogs - NRL 2022 (Australia 1),Lost,"100,000,000",1.80,,Under 36.5 Total,Over/Under 36.5 Total Ordinary time
3768026,Rugby League,Melbourne Storm v Manly Sea Eagles - NRL 2022 (Australia 1),Lost,"60,000,000",1.80,,Over 40.5 Total,Over/Under 40.5 Total Ordinary time
3768045,Rugby League,Canterbury Bulldogs v Parramatta Eels - NRL 2022 (Australia 1),Lost,"12,000,000",1.90,,Over 45.5 Total,Over/Under 45.5 Total Ordinary time
3768060,Rugby League,New Zealand Warriors v Wests Tigers - NRL 2022 (Australia 1),Lost,"5,000,000",2.10,,Over 44.5 Total,Over/Under 44.5 Total Ordinary time
3768106,Rugby League,South Sydney Rabbitohs v Penrith Panthers - NRL 2022 (Australia 1),Lost,"40,000,000",1.91,,Under 40.5 Total,Over/Under 40.5 Total Ordinary time
3768112,Rugby League,St. George Illawarra Dragons v Gold Coast Titans - NRL 2022 (Australia 1),Lost,"50,000,000",2.40,,Gold Coast Titans,3-Way Ordinary time
3768113,Rugby League,Newcastle Knights v Canberra Raiders - NRL 2022 (Australia 1),Lost,"9,000,000",2.60,,Over 52.5 Total,Over/Under 52.5 Total Ordinary time
3768122,Rugby League,Parramatta Eels v Melbourne Storm - NRL 2022 (Australia 1),Lost,"10,000,000",2.50,,Over 46.5 Total,Over/Under 46.5 Total Ordinary time
3768126,Rugby League,St. George Illawarra Dragons v Brisbane Broncos - NRL 2022 (Australia 1),Lost,"10,000,000",2.00,,Over 52.5 Total,Over/Under 52.5 Total Ordinary time
3769447,Basketball,Bauru v Flamengo - NBB 2021/2022 (Brazil 1),Won,"3,400,000",1.85,"4,000,000",Flamengo,-6.5
3769449,Basketball,Caxias do Sul v Paulistano - NBB 2021/2022 (Brazil 1),Lost,"4,000,000",1.91,,Even,Odd/Even Full event
3771126,Football,Dingnan United v Xinjiang Tianshan - China League 2021 (China 2),Lost,"18,000,000",1.44,,Over 2.5 Total Goals,Over/Under 2.5 Total Goals Ordinary time
3771907,Football,Al Taee v Al Hilal - Saudi Professional League 2021/2022 (Saudi Arabia 1),Won,"7,000,000",2.40,"5,000,000",Over 3.5 Total Goals,Over/Under 3.5 Total Goals Ordinary time
3772550,Basketball,Galatasaray v Turk Telekom - BSL 2021/2022 (Turkiye 1),Won,"24,650,000",1.85,"29,000,000",Under 162 Total,Over/Under 162 Total Full event
3772551,Basketball,Merkezefendi v Bahcesehir Koleji - BSL 2021/2022 (Turkiye 1),Won,"6,800,000",1.85,"8,000,000",Bahcesehir Koleji,-7.5
3772554,Basketball,Yalovaspor BK v Anadolu Efes - BSL 2021/2022 (Turkiye 1),Won,"20,000,000",1.80,"25,000,000",Under 166.5 Total,Over/Under 166.5 Total Full event
3773382,Rugby League,Castleford Tigers v Hull Kingston Rovers - Super League 2022 (England 1),Won,"33,250,000",1.95,"35,000,000",Under 42.5 Total,Over/Under 42.5 Total Ordinary time
3773385,Rugby League,Hull FC v Leeds Rhinos - Super League 2022 (England 1),Won,"5,000,000",2.00,"5,000,000",Leeds Rhinos,-6.5
3775754,Basketball,Jiangsu Dragons v Ningbo Rockets - CBA 2021/2022 (China 1),Lost,"1,000,000",2.10,,Jiangsu Dragons,2-Way Full event
3775757,Basketball,Zhejiang Lions v Beijing Ducks - CBA 2021/2022 (China 1),Lost,"99,000,000",1.80,,Over 185.5 Total,Over/Under 185.5 Total Full event
3775764,Basketball,Guangdong Southern Tigers v Liaoning Flying Leopards - CBA 2021/2022 (China 1),Won,"42,500,000",1.85,"50,000,000",Over 204.5 Total,Over/Under 204.5 Total Full event
3775767,Basketball,Nanjing Monkey King v Guangdong Southern Tigers - CBA 2021/2022 (China 1),Lost,"30,000,000",1.85,,Over 207.5 Total,Over/Under 207.5 Total Full event
3775769,Basketball,Beijing Ducks v Shanxi Loongs - CBA 2021/2022 (China 1),Won,"67,173,168",2.29,"52,072,223",Shanxi Loongs,2-Way Full event
3775770,Basketball,Sichuan Blue Whales v Xinjiang Flying Tigers - CBA 2021/2022 (China 1),Lost,"10,000,000",3.75,,Sichuan Blue Whales,2-Way Full event
3775776,Basketball,Shandong Hi-Speed Kirin v Qingdao Eagles - CBA 2021/2022 (China 1),Lost,"56,000,000",1.90,,Under 212.5 Total,Over/Under 212.5 Total Full event
3775799,Basketball,Guangzhou Loong Lions v Sichuan Blue Whales - CBA 2021/2022 (China 1),Lost,"50,000,000",1.85,,Under 201.5 Total,Over/Under 201.5 Total Full event
3775800,Basketball,Fujian Sturgeons v Zhejiang Lions - CBA 2021/2022 (China 1),Won,"27,000,000",1.90,"30,000,000",Under 220.5 Total,Over/Under 220.5 Total Full event
3775801,Basketball,Xinjiang Flying Tigers v Qingdao Eagles - CBA 2021/2022 (China 1),Won,"1,198,061",1.80,"1,497,576",Under 217.5 Total,Over/Under 217.5 Total Full event
3775808,Basketball,Shenzhen Leopards v Shanxi Loongs - CBA 2021/2022 (China 1),Lost,"9,576,752",1.85,,Under 220.5 Total,Over/Under 220.5 Total Full event
3775811,Basketball,Zhejiang Golden Bulls v Beijing Royal Fighters - CBA 2021/2022 (China 1),Won,"16,150,000",1.85,"19,000,000",Under 190 Total,Over/Under 190 Total Full event
3775814,Basketball,Jiangsu Dragons v Guangzhou Loong Lions - CBA 2021/2022 (China 1),Lost,"10,000,000",1.85,,Over 188.5 Total,Over/Under 188.5 Total Full event
3775817,Basketball,Shanxi Loongs v Fujian Sturgeons - CBA 2021/2022 (China 1),Won,"12,750,000",1.85,"15,000,000",Under 231.5 Total,Over/Under 231.5 Total Full event
3775819,Basketball,Tianjin Pioneers v Liaoning Flying Leopards - CBA 2021/2022 (China 1),Won,"1,298,936",1.90,"1,443,262",Under 213.5 Total,Over/Under 213.5 Total Full event
3775822,Basketball,Sichuan Blue Whales v Beijing Royal Fighters - CBA 2021/2022 (China 1),Lost,"5,000,000",1.85,,Over 189.5 Total,Over/Under 189.5 Total Full event
3775823,Basketball,Tianjin Pioneers v Nanjing Monkey King - CBA 2021/2022 (China 1),Won,"4,250,000",1.85,"5,000,000",Over 209.5 Total,Over/Under 209.5 Total Full event
3775830,Basketball,Guangdong Southern Tigers v Jilin Northeast Tigers - CBA 2021/2022 (China 1),Lost,"4,500,000",1.90,,Guangdong Southern Tigers,-12
3775834,Basketball,Guangzhou Loong Lions v Shanghai Sharks - CBA 2021/2022 (China 1),Won,"4,250,000",1.85,"5,000,000",Under 211 Total,Over/Under 211 Total Full event
3775839,Basketball,Xinjiang Flying Tigers v Sichuan Blue Whales - CBA 2021/2022 (China 1),Lost,"6,000,000",1.85,,Under 198.5 Total,Over/Under 198.5 Total Full event
3775842,Basketball,Ningbo Rockets v Beijing Royal Fighters - CBA 2021/2022 (China 1),Won,"4,250,000",1.85,"5,000,000",Over 182.5 Total,Over/Under 182.5 Total Full event
3775844,Basketball,Fujian Sturgeons v Liaoning Flying Leopards - CBA 2021/2022 (China 1),Won,"5,100,000",1.85,"6,000,000",Under 216.5 Total,Over/Under 216.5 Total Full event
3775848,Basketball,Zhejiang Lions v Fujian Sturgeons - CBA 2021/2022 (China 1),Lost,"10,000,000",1.90,,Under 212.5 Total,Over/Under 212.5 Total Full event
3775849,Basketball,Ningbo Rockets v Jiangsu Dragons - CBA 2021/2022 (China 1),Lost,"10,000,000",1.85,,Over 186.5 Total,Over/Under 186.5 Total Full event
3775850,Basketball,Liaoning Flying Leopards v Guangdong Southern Tigers - CBA 2021/2022 (China 1),Lost,"16,000,000",1.85,,Over 204.5 Total,Over/Under 204.5 Total Full event
3775852,Basketball,Nanjing Monkey King v Beijing Ducks - CBA 2021/2022 (China 1),Lost,"10,000,000",1.85,,Under 190.5 Total,Over/Under 190.5 Total Full event
3775853,Basketball,Zhejiang Golden Bulls v Xinjiang Flying Tigers - CBA 2021/2022 (China 1),Lost,"20,000,000",1.85,,Zhejiang Golden Bulls,-8.5
3775855,Basketball,Qingdao Eagles v Shandong Hi-Speed Kirin - CBA 2021/2022 (China 1),Won,"14,600,000",1.73,"20,000,000",Shandong Hi-Speed Kirin,2-Way Full event
3775856,Basketball,Shenzhen Leopards v Jilin Northeast Tigers - CBA 2021/2022 (China 1),Won,"4,250,000",1.85,"5,000,000",Under 206.5 Total,Over/Under 206.5 Total Full event
3775861,Basketball,Shenzhen Leopards v Shanghai Sharks - CBA 2021/2022 (China 1),Lost,"3,000,000",1.85,,Shanghai Sharks,-7
3775863,Basketball,Jiangsu Dragons v Zhejiang Golden Bulls - CBA 2021/2022 (China 1),Lost,"5,100,000",1.85,,Over 184 Total,Over/Under 184 Total Full event
3775873,Basketball,Sichuan Blue Whales v Guangdong Southern Tigers - CBA 2021/2022 (China 1),Lost,"39,000,000",1.60,,Over 187.5 Total,Over/Under 187.5 Total Full event
3775874,Basketball,Shandong Hi-Speed Kirin v Zhejiang Lions - CBA 2021/2022 (China 1),Lost,"8,000,000",1.85,,Over 206 Total,Over/Under 206 Total Full event
3775875,Basketball,Qingdao Eagles v Shanghai Sharks - CBA 2021/2022 (China 1),Lost,"9,500,000",1.85,,Under 208.5 Total,Over/Under 208.5 Total Full event
3775878,Basketball,Shenzhen Leopards v Beijing Ducks - CBA 2021/2022 (China 1),Won,"780,000",4.00,"260,000",Shenzhen Leopards,2-Way Full event
3775882,Basketball,Fujian Sturgeons v Tianjin Pioneers - CBA 2021/2022 (China 1),Lost,"1,000,000",1.85,,Over 220 Total,Over/Under 220 Total Full event
3775883,Basketball,Shanxi Loongs v Shandong Hi-Speed Kirin - CBA 2021/2022 (China 1),Won,"1,700,000",1.85,"2,000,000",Over 216.5 Total,Over/Under 216.5 Total Full event
3775884,Basketball,Guangdong Southern Tigers v Shanghai Sharks - CBA 2021/2022 (China 1),Won,"500,000",1.50,"1,000,000",Over 204.5 Total,Over/Under 204.5 Total Full event
3775886,Basketball,Tianjin Pioneers v Beijing Ducks - CBA 2021/2022 (China 1),Won,"11,900,000",1.85,"14,000,000",Over 197.5 Total,Over/Under 197.5 Total Full event
3775887,Basketball,Nanjing Monkey King v Xinjiang Flying Tigers - CBA 2021/2022 (China 1),Won,"4,250,000",1.85,"5,000,000",Over 203.5 Total,Over/Under 203.5 Total Full event
3775888,Basketball,Liaoning Flying Leopards v Ningbo Rockets - CBA 2021/2022 (China 1),Lost,"10,000,000",1.85,,Under 194.5 Total,Over/Under 194.5 Total Full event
3775890,Basketball,Beijing Ducks v Sichuan Blue Whales - CBA 2021/2022 (China 1),Lost,"4,000,000",1.85,,Over 184 Total,Over/Under 184 Total Full event
3775896,Basketball,Zhejiang Golden Bulls v Shanghai Sharks - CBA 2021/2022 (China 1),Lost,"2,000,000",1.85,,Over 205.5 Total,Over/Under 205.5 Total Full event
3775897,Basketball,Ningbo Rockets v Xinjiang Flying Tigers - CBA 2021/2022 (China 1),Lost,"1,000,000",1.85,,Under 197.5 Total,Over/Under 197.5 Total Full event
3775900,Basketball,Guangdong Southern Tigers v Qingdao Eagles - CBA 2021/2022 (China 1),Lost,"100,000",1.85,,Over 201.5 Total,Over/Under 201.5 Total Full event
3775901,Basketball,Jilin Northeast Tigers v Shanxi Loongs - CBA 2021/2022 (China 1),Lost,"2,000,000",2.60,,Shanxi Loongs,2-Way Full event
3775903,Basketball,Zhejiang Golden Bulls v Shenzhen Leopards - CBA 2021/2022 (China 1),Won,"8,500,000",1.85,"10,000,000",Under 203.5 Total,Over/Under 203.5 Total Full event
3777378,American Football,Arizona State Sun Devils v Wisconsin Badgers - NCAAF Bowls 2021/2022 (USA NCAA 1),Lost,"80,000,000",1.83,,Over 41.5 Total,Over/Under 41.5 Total Full event
3779114,Basketball,ASVEL Lyon-Villeurbanne v Vichy-Clermont - Coupe de France 2021/2022 (France Cup 1),Won,"10,200,000",1.85,"12,000,000",ASVEL Lyon-Villeurbanne,-17.5
3786552,Basketball,"Phoenix Mercury v Seattle Storm - WNBA 2022 (USA 1, female)",Lost,"100,000,000",1.90,,Under 163.5 Total,Over/Under 163.5 Total Full event
3786570,Basketball,"Connecticut Sun v Dallas Wings - WNBA 2022 (USA 1, female)",Lost,"20,000,000",2.50,,Over 164.5 Total,Over/Under 164.5 Total Full event
3786574,Basketball,"Los Angeles Sparks v Phoenix Mercury - WNBA 2022 (USA 1, female)",Won,"100,000,000",2.00,"100,000,000",Over 166 Total,Over/Under 166 Total Full event
3786575,Basketball,"Connecticut Sun v Dallas Wings - WNBA 2022 (USA 1, female)",Won,"40,500,000",2.35,"30,000,000",Over 163 Total,Over/Under 163 Total Full event
3786589,Basketball,"Las Vegas Aces v Phoenix Mercury - WNBA 2022 (USA 1, female)",Won,"54,600,000",1.91,"60,000,000",Under 170 Total,Over/Under 170 Total Full event
3786592,Basketball,"Las Vegas Aces v Minnesota Lynx - WNBA 2022 (USA 1, female)",Won,"30,450,000",1.87,"35,000,000",Over 169 Total,Over/Under 169 Total Full event
3786593,Basketball,"Phoenix Mercury v Dallas Wings - WNBA 2022 (USA 1, female)",Lost,"40,000,000",2.00,,Phoenix Mercury,-3
3786596,Basketball,"Seattle Storm v Los Angeles Sparks - WNBA 2022 (USA 1, female)",Won,"91,000,000",1.91,"100,000,000",Over 160.5 Total,Over/Under 160.5 Total Full event
3786610,Basketball,"Connecticut Sun v Atlanta Dream - WNBA 2022 (USA 1, female)",Won,"12,150,000",2.35,"9,000,000",Over 160.5 Total,Over/Under 160.5 Total Full event
3786612,Basketball,"Minnesota Lynx v Seattle Storm - WNBA 2022 (USA 1, female)",Lost,"5,000,000",3.50,,Minnesota Lynx,2-Way Full event
3786615,Basketball,"Washington Mystics v Phoenix Mercury - WNBA 2022 (USA 1, female)",Lost,"10,000,000",2.75,,Washington Mystics,-12.5
3786619,Basketball,"Indiana Fever v Phoenix Mercury - WNBA 2022 (USA 1, female)",Lost,"8,000,000",2.20,,Under 165 Total,Over/Under 165 Total Full event
3786620,Basketball,"New York Liberty v Washington Mystics - WNBA 2022 (USA 1, female)",Lost,"10,000,000",2.38,,Over 161.5 Total,Over/Under 161.5 Total Full event
3786624,Basketball,"Las Vegas Aces v Minnesota Lynx - WNBA 2022 (USA 1, female)",Lost,"6,000,000",8.50,,Minnesota Lynx,2-Way Full event
3786625,Basketball,"Dallas Wings v Los Angeles Sparks - WNBA 2022 (USA 1, female)",Lost,"6,500,000",2.25,,Under 166 Total,Over/Under 166 Total Full event
3786626,Basketball,"Washington Mystics v Connecticut Sun - WNBA 2022 (USA 1, female)",Won,"13,700,000",2.37,"10,000,000",Washington Mystics,2-Way Full event
3786633,Basketball,"New York Liberty v Minnesota Lynx - WNBA 2022 (USA 1, female)",Lost,"10,000,000",2.04,,Under 156 Total,Over/Under 156 Total Full event
3786634,Basketball,"Seattle Storm v Dallas Wings - WNBA 2022 (USA 1, female)",Lost,"8,000,000",2.04,,Over 161 Total,Over/Under 161 Total Full event
3786635,Basketball,"Phoenix Mercury v Connecticut Sun - WNBA 2022 (USA 1, female)",Won,"5,460,000",1.91,"6,000,000",Over 163 Total,Over/Under 163 Total Full event
3786636,Basketball,"Atlanta Dream v Chicago Sky - WNBA 2022 (USA 1, female)",Lost,"5,000,000",2.62,,Atlanta Dream,2-Way Full event
3786639,Basketball,"New York Liberty v Indiana Fever - WNBA 2022 (USA 1, female)",Lost,"2,000,000",2.62,,Indiana Fever,2-Way Full event
3786640,Basketball,"Atlanta Dream v Minnesota Lynx - WNBA 2022 (USA 1, female)",Refunded,"9,000,000",2.25,,Over 160 Total,Over/Under 160 Total Full event
3786647,Basketball,"Connecticut Sun v Chicago Sky - WNBA 2022 (USA 1, female)",Lost,"5,000,000",2.38,,Over 167.5 Total,Over/Under 167.5 Total Full event
3786649,Basketball,"Connecticut Sun v Indiana Fever - WNBA 2022 (USA 1, female)",Won,"250,000",1.50,"500,000",Indiana Fever,+20.5
3786652,Basketball,"Seattle Storm v Connecticut Sun - WNBA 2022 (USA 1, female)",Won,"10,000,000",2.25,"8,000,000",Over 158 Total,Over/Under 158 Total Full event
3786655,Basketball,"Los Angeles Sparks v Washington Mystics - WNBA 2022 (USA 1, female)",Won,"15,000,000",2.25,"12,000,000",Over 164 Total,Over/Under 164 Total Full event
3786657,Basketball,"Dallas Wings v Los Angeles Sparks - WNBA 2022 (USA 1, female)",Lost,"10,000,000",1.91,,Under 166.5 Total,Over/Under 166.5 Total Full event
3786659,Basketball,"Seattle Storm v Indiana Fever - WNBA 2022 (USA 1, female)",Lost,"10,000,000",2.50,,Over 166.5 Total,Over/Under 166.5 Total Full event
3786662,Basketball,"Atlanta Dream v Seattle Storm - WNBA 2022 (USA 1, female)",Won,"7,500,000",2.25,"6,000,000",Over 158 Total,Over/Under 158 Total Full event
3786666,Basketball,"Indiana Fever v Seattle Storm - WNBA 2022 (USA 1, female)",Lost,"5,000,000",2.38,,Under 154.5 Total,Over/Under 154.5 Total Full event
3786673,Basketball,"New York Liberty v Atlanta Dream - WNBA 2022 (USA 1, female)",Lost,"10,000,000",4.00,,New York Liberty,-15.5
3786674,Basketball,"Seattle Storm v Las Vegas Aces - WNBA 2022 (USA 1, female)",Lost,"9,000,000",2.50,,Las Vegas Aces,-5.5
3786679,Basketball,"Los Angeles Sparks v Chicago Sky - WNBA 2022 (USA 1, female)",Won,"10,465,000",1.91,"11,500,000",Under 173 Total,Over/Under 173 Total Full event
3786683,Basketball,"Las Vegas Aces v Washington Mystics - WNBA 2022 (USA 1, female)",Won,"10,800,000",2.35,"8,000,000",Over 170 Total,Over/Under 170 Total Full event
3786684,Basketball,"Atlanta Dream v Connecticut Sun - WNBA 2022 (USA 1, female)",Lost,"5,000,000",2.04,,Over 165 Total,Over/Under 165 Total Full event
3786685,Basketball,"Phoenix Mercury v Indiana Fever - WNBA 2022 (USA 1, female)",Lost,"1,800,000",3.40,,Indiana Fever,2-Way Full event
3786691,Basketball,"Chicago Sky v Minnesota Lynx - WNBA 2022 (USA 1, female)",Lost,"5,000,000",2.25,,Chicago Sky,-9.5
3786694,Basketball,"Indiana Fever v Minnesota Lynx - WNBA 2022 (USA 1, female)",Won,"7,000,000",2.40,"5,000,000",Minnesota Lynx,-7
3786695,Basketball,"Los Angeles Sparks v Chicago Sky - WNBA 2022 (USA 1, female)",Won,"2,940,000",2.40,"2,100,000",Chicago Sky,-9
3786697,Basketball,"Minnesota Lynx v Dallas Wings - WNBA 2022 (USA 1, female)",Lost,"5,000,000",3.10,,Minnesota Lynx,-11
3786698,Basketball,"New York Liberty v Las Vegas Aces - WNBA 2022 (USA 1, female)",Lost,"3,500,000",2.87,,New York Liberty,2-Way Full event
3786711,Basketball,"Atlanta Dream v Minnesota Lynx - WNBA 2022 (USA 1, female)",Won,"3,600,000",2.20,"3,000,000",Over 163.5 Total,Over/Under 163.5 Total Full event
3786714,Basketball,"Phoenix Mercury v Los Angeles Sparks - WNBA 2022 (USA 1, female)",Lost,"3,000,000",2.10,,Under 165.5 Total,Over/Under 165.5 Total Full event
3786715,Basketball,"Indiana Fever v Las Vegas Aces - WNBA 2022 (USA 1, female)",Won,"5,600,000",2.12,"5,000,000",Under 173.5 Total,Over/Under 173.5 Total Full event
3786716,Basketball,"Chicago Sky v New York Liberty - WNBA 2022 (USA 1, female)",Lost,"1,000,000",4.75,,New York Liberty,2-Way Full event
3786717,Basketball,"New York Liberty v Chicago Sky - WNBA 2022 (USA 1, female)",Lost,"3,000,000",2.00,,Over 164 Total,Over/Under 164 Total Full event
3786720,Basketball,"Phoenix Mercury v Atlanta Dream - WNBA 2022 (USA 1, female)",Lost,"9,000,000",2.23,,Over 165 Total,Over/Under 165 Total Full event
3786724,Basketball,"Los Angeles Sparks v Indiana Fever - WNBA 2022 (USA 1, female)",Lost,"1,000,000",3.00,,Over 171.5 Total,Over/Under 171.5 Total Full event
3786730,Basketball,"Washington Mystics v Seattle Storm - WNBA 2022 (USA 1, female)",Lost,"5,000,000",2.35,,Over 160 Total,Over/Under 160 Total Full event
3786733,Basketball,"Atlanta Dream v Los Angeles Sparks - WNBA 2022 (USA 1, female)",Lost,"1,000,000",2.75,,Los Angeles Sparks,2-Way Full event
3786734,Basketball,"Chicago Sky v Washington Mystics - WNBA 2022 (USA 1, female)",Refunded,"1,000,000",2.60,,Chicago Sky,-10
3786737,Basketball,"Chicago Sky v Connecticut Sun - WNBA 2022 (USA 1, female)",Lost,"2,000,000",2.29,,Connecticut Sun,2-Way Full event
3786738,Basketball,"Washington Mystics v Los Angeles Sparks - WNBA 2022 (USA 1, female)",Lost,"2,000,000",2.50,,Over 164 Total,Over/Under 164 Total Full event
3786740,Basketball,"Minnesota Lynx v Atlanta Dream - WNBA 2022 (USA 1, female)",Won,"2,100,000",3.10,"1,000,000",Under 155 Total,Over/Under 155 Total Full event
3786741,Basketball,"Dallas Wings v New York Liberty - WNBA 2022 (USA 1, female)",Refunded,"2,000,000",2.75,,Dallas Wings,-9
3786742,Basketball,"Connecticut Sun v Phoenix Mercury - WNBA 2022 (USA 1, female)",Lost,"1,000,000",6.25,,Phoenix Mercury,2-Way Full event
3786746,Basketball,"New York Liberty v Phoenix Mercury - WNBA 2022 (USA 1, female)",Lost,"2,000,000",2.27,,Over 170 Total,Over/Under 170 Total Full event
3786750,Basketball,"Connecticut Sun v Phoenix Mercury - WNBA 2022 (USA 1, female)",Lost,"900,000",5.00,,Phoenix Mercury,2-Way Full event
3786751,Basketball,"New York Liberty v Los Angeles Sparks - WNBA 2022 (USA 1, female)",Lost,"3,000,000",2.80,,Los Angeles Sparks,2-Way Full event
